日期,开盘价,收盘价
2022-11-11,3.94,3.803
2022-11-14,3.84,3.799
2022-11-15,3.796,3.875
2022-11-16,3.872,3.846
2022-11-17,3.838,3.829
2022-11-18,3.829,3.817
2022-11-21,3.782,3.785
2022-11-22,3.776,3.781
2022-11-23,3.769,3.786
2022-11-24,3.799,3.769
2022-11-25,3.771,3.792
2022-11-28,3.746,3.745
2022-11-29,3.764,3.858
2022-11-30,3.858,3.86
2022-12-01,3.927,3.909
2022-12-02,3.907,3.883
2022-12-05,3.945,3.956
2022-12-06,3.94,3.975
2022-12-07,3.972,3.966
2022-12-08,3.966,3.975
2022-12-09,3.978,4.008
2022-12-12,4.001,3.964
2022-12-13,3.967,3.953
2022-12-14,3.956,3.964
2022-12-15,3.961,3.96
2022-12-16,3.944,3.96
2022-12-19,3.966,3.906
2022-12-20,3.894,3.846
2022-12-21,3.853,3.845
2022-12-22,3.866,3.853
2022-12-23,3.838,3.845
2022-12-26,3.85,3.855
2022-12-27,3.881,3.903
2022-12-28,3.895,3.885
2022-12-29,3.872,3.873
2022-12-30,3.887,3.901
2023-01-03,3.893,3.9
2023-01-04,3.899,3.904
2023-01-05,3.922,3.98
2023-01-06,3.98,3.996
2023-01-09,4.01,4.02
2023-01-10,4.016,4.026
2023-01-11,4.023,4.025
2023-01-12,4.025,4.031
2023-01-13,4.041,4.091
2023-01-16,4.097,4.152
2023-01-17,4.154,4.154
2023-01-18,4.155,4.143
2023-01-19,4.132,4.175
2023-01-20,4.184,4.196
2023-01-30,4.272,4.215
2023-01-31,4.22,4.169
2023-02-01,4.173,4.203
2023-02-02,4.213,4.193
2023-02-03,4.173,4.153
2023-02-06,4.115,4.091
2023-02-07,4.1,4.106
2023-02-08,4.106,4.086
2023-02-09,4.08,4.141
2023-02-10,4.141,4.118
2023-02-13,4.099,4.153
2023-02-14,4.155,4.159
2023-02-15,4.159,4.133
2023-02-16,4.133,4.107
2023-02-17,4.102,4.044
2023-02-20,4.046,4.148
2023-02-21,4.154,4.156
2023-02-22,4.144,4.117
2023-02-23,4.118,4.118
2023-02-24,4.116,4.075
2023-02-27,4.046,4.059
2023-02-28,4.064,4.089
2023-03-01,4.083,4.139
2023-03-02,4.129,4.133
2023-03-03,4.143,4.139
2023-03-06,4.14,4.115
2023-03-07,4.116,4.055
2023-03-08,4.053,4.043
2023-03-09,4.055,4.032
2023-03-10,4.008,3.979
2023-03-13,3.979,4.019
2023-03-14,4.018,3.997
2023-03-15,4.016,3.996
2023-03-16,3.963,3.947
2023-03-17,3.98,3.97
2023-03-20,3.987,3.949
2023-03-21,3.966,3.99
2023-03-22,3.996,4.008
2023-03-23,3.996,4.043
2023-03-24,4.047,4.04
2023-03-27,4.04,4.02
2023-03-28,4.025,4.011
2023-03-29,4.023,4.015
2023-03-30,4.019,4.055
2023-03-31,4.058,4.064
2023-04-03,4.064,4.095
2023-04-04,4.104,4.114
2023-04-06,4.095,4.102
2023-04-07,4.102,4.134
2023-04-10,4.143,4.115
2023-04-11,4.117,4.107
2023-04-12,4.114,4.103
2023-04-13,4.094,4.082
2023-04-14,4.082,4.098
2023-04-17,4.096,4.16
2023-04-18,4.159,4.169
2023-04-19,4.169,4.137
2023-04-20,4.137,4.119
2023-04-21,4.119,4.047
2023-04-24,4.048,3.996
2023-04-25,4.006,3.977
2023-04-26,3.968,3.968
2023-04-27,3.967,4.001
2023-04-28,4.009,4.039
2023-05-04,4.023,4.04
2023-05-05,4.042,4.027
2023-05-08,4.032,4.07
2023-05-09,4.073,4.037
2023-05-10,4.035,4.006
2023-05-11,4.008,4.002
2023-05-12,4.001,3.95
2023-05-15,3.953,4.009
2023-05-16,4.011,3.993
2023-05-17,3.978,3.971
2023-05-18,3.977,3.966
2023-05-19,3.956,3.96
2023-05-22,3.961,3.982
2023-05-23,3.99,3.922
2023-05-24,3.92,3.872
2023-05-25,3.863,3.863
2023-05-26,3.861,3.862
2023-05-29,3.87,3.853
2023-05-30,3.847,3.85
2023-05-31,3.844,3.817
2023-06-01,3.814,3.825
2023-06-02,3.841,3.882
2023-06-05,3.879,3.862
2023-06-06,3.863,3.825
2023-06-07,3.829,3.817
2023-06-08,3.817,3.845
2023-06-09,3.848,3.861
2023-06-12,3.859,3.865
2023-06-13,3.859,3.89
2023-06-14,3.897,3.891
2023-06-15,3.901,3.956
2023-06-16,3.96,3.997
2023-06-19,3.992,3.964
2023-06-20,3.961,3.959
2023-06-21,3.947,3.903
2023-06-26,3.891,3.859
2023-06-27,3.859,3.885
2023-06-28,3.885,3.89
2023-06-29,3.889,3.875
2023-06-30,3.878,3.896
2023-07-03,3.905,3.941
2023-07-04,3.939,3.958
2023-07-05,3.952,3.926
2023-07-06,3.92,3.899
2023-07-07,3.893,3.885
2023-07-10,3.906,3.902
2023-07-11,3.909,3.927
2023-07-12,3.932,3.908
2023-07-13,3.917,3.97
2023-07-14,3.973,3.97
2023-07-17,3.961,3.944
2023-07-18,3.944,3.935
2023-07-19,3.934,3.934
2023-07-20,3.935,3.904
2023-07-21,3.904,3.907
2023-07-24,3.892,3.888
2023-07-25,3.937,4.0
2023-07-26,3.984,3.994
2023-07-27,4.003,3.987
2023-07-28,3.974,4.082
2023-07-31,4.109,4.102
2023-08-01,4.102,4.082
2023-08-02,4.081,4.059
