日期,开盘价,收盘价
2022-09-19,5.856,5.826
2022-09-20,5.833,5.855
2022-09-21,5.836,5.885
2022-09-22,5.847,5.876
2022-09-23,5.864,5.806
2022-09-26,5.766,5.714
2022-09-27,5.722,5.822
2022-09-28,5.802,5.685
2022-09-29,5.718,5.7
2022-09-30,5.692,5.623
2022-10-10,5.631,5.558
2022-10-11,5.561,5.592
2022-10-12,5.593,5.726
2022-10-13,5.699,5.741
2022-10-14,5.797,5.887
2022-10-17,5.86,5.913
2022-10-18,5.94,5.94
2022-10-19,5.925,5.89
2022-10-20,5.869,5.87
2022-10-21,5.876,5.87
2022-10-24,5.866,5.82
2022-10-25,5.797,5.773
2022-10-26,5.787,5.893
2022-10-27,5.916,5.875
2022-10-28,5.849,5.688
2022-10-31,5.678,5.722
2022-11-01,5.732,5.865
2022-11-02,5.856,5.907
2022-11-03,5.873,5.91
2022-11-04,5.905,6.06
2022-11-07,6.057,6.044
2022-11-08,6.037,6.05
2022-11-09,6.058,6.033
2022-11-10,6.01,6.013
2022-11-11,6.171,6.048
2022-11-14,6.055,6.038
2022-11-15,6.043,6.143
2022-11-16,6.14,6.114
2022-11-17,6.094,6.127
2022-11-18,6.127,6.115
2022-11-21,6.068,6.108
2022-11-22,6.087,6.043
2022-11-23,6.005,6.032
2022-11-24,6.043,6.033
2022-11-25,6.014,6.002
2022-11-28,5.926,5.975
2022-11-29,5.991,6.074
2022-11-30,6.072,6.06
2022-12-01,6.142,6.092
2022-12-02,6.096,6.078
2022-12-05,6.118,6.12
2022-12-06,6.116,6.117
2022-12-07,6.109,6.109
2022-12-08,6.109,6.099
2022-12-09,6.092,6.108
2022-12-12,6.097,6.085
2022-12-13,6.083,6.052
2022-12-14,6.052,6.026
2022-12-15,6.021,6.025
2022-12-16,6.013,6.003
2022-12-19,5.998,5.876
2022-12-20,5.855,5.813
2022-12-21,5.817,5.783
2022-12-22,5.8,5.721
2022-12-23,5.692,5.7
2022-12-26,5.704,5.768
2022-12-27,5.791,5.807
2022-12-28,5.793,5.791
2022-12-29,5.776,5.788
2022-12-30,5.805,5.794
2023-01-03,5.779,5.876
2023-01-04,5.883,5.874
2023-01-05,5.891,5.932
2023-01-06,5.932,5.945
2023-01-09,5.953,5.957
2023-01-10,5.956,5.971
2023-01-11,5.971,5.944
